left_word,target_word,right_word,context
個,難得,的,及 12月 24日 的 日 偏蝕 在 臺灣 地區 的 朋友 才 有緣 看到 可 別 錯過 這 個 難得 的 機會 喔 到 10時 41分 終止 總共 經過 4 小時 20 分 由於 是 在 日出 的
是,難得,一,它 強勁 的 加速性 嚇 一 跳 呢 當然 對於 賽車場 上 的 賽車手 來 說 它 可 是 難得 一 見 的 戰馬 喔 圖說 塗裝 鮮豔 的 CBR900RR CBR900RR 在 轉彎 時 十分 靈活 問題 追
家,畢竟,是,這 一 劫 從此 以後 他 變成 了 一 個 既 乖巧 又 聽話 的 好 孩子 因為 家 畢竟 是 溫暖 的 天下 沒有 不是 的 父母 誰 叫 我們 要 做錯 草莓園 在 浩瀚 的 宇宙
吧,畢竟,我們,下 童年 歡樂 的 足跡 希望 能夠 藉 此 呼籲 大家 為 都市 裡 保留 一 分 綠意 吧 畢竟 我們 需要 綠 我們 喜愛 徜徉 在 綠色 的 大地 中 打 的 紀錄 高雄市 凱旋 國小 五年九班
嗎,的確,側邊車,問 如果 右邊 的 側車 沒有 坐 人 那麼 騎 著 Jewell 寶石 不 是 會 很 累贅 嗎 的確 側邊車 的 基本 設計 就 是 針對 雙人 乘坐 而 設計 如果 只 用來 單獨 騎乘 似乎 是
它,的確,是,長出 一 段 很 長 的 節間 然後 再 接著 長出 幾 個 龜甲 讓 人 更加 覺得 它 的確 是 奇形怪狀 龜甲竹 的 地下莖 竹鞭 竹筠 筍 的 外殼 和 花 都 與 大家 熟知 的 孟宗竹
模樣,的確,是,少 安全 節省 空間 等 是 它 的 最 大 特點 瞧 圖 中 這 部 車 的 模樣 的確 是 現代感 十足 呢 美聯社 用 大 角 當 武器 大 角 野 羊 養 在 牧場 中
牠們,的確,是,的 取下 牠們 帶回 家 飼養 這 三 隻 幼蟲 經過 我 飼育 而 羽化 後 才 證明 牠們 的確 是 波紋 小 灰 蝶 幼蟲 為 了 躲避 天敵 所以 幼蟲 的 顏色 和 所 產附 的
牠們,的確,是,的 取下 牠們 帶回 家 飼養 這 三 隻 幼蟲 經過 我 飼育 而 羽化 後 才 證明 牠們 的確 是 波紋 小 灰 蝶 幼蟲 為 了 躲避 天敵 所以 幼蟲 的 顏色 和 所 產附 的
情侶,總是,一,常 可以 在 街頭 看到 自得其樂 的 側邊車 騎士 與 悠閒 的 同伴 尤其 是 相戀 中 的 情侶 總是 一 副 形影不離 的 樣子 讓 人 十分 羨慕 到底 騎乘 側邊車 有 什麼 樂趣 呢 看 了
